nachos unhealthy 182 185
buttermilk neutral 191 194
oyster healthy 236 239
smoke unhealthy 283 286
enchilada unhealthy 302 305
cocoa neutral 327 330
veal neutral 343 346
caper neutral 408 411
cobbler unhealthy 410 413
succotash healthy 487 490
banana healthy 24 28
supper neutral 59 63
ham neutral 73 77
omelette neutral 95 99
bagel neutral 104 108
oil neutral 116 120
fast unhealthy 131 135
biscuit unhealthy 144 148
ground unhealthy 178 182
caramel unhealthy 189 193
platter neutral 254 258
cheesesteak unhealthy 334 338
plum healthy 392 396
tomatoe healthy 442 446
tapioca neutral 493 497
powerade unhealthy 495 499
french neutral 30 35
green healthy 37 42
cake unhealthy 68 73
hash unhealthy 91 96
almond healthy 100 105
pot neutral 118 123
syrup unhealthy 124 129
cabbage healthy 137 142
carrot healthy 142 147
dog neutral 147 152
scramble healthy 153 158
breast healthy 169 174
frozen unhealthy 181 186
pear healthy 199 204
gyro unhealthy 227 232
grape healthy 247 252
rye healthy 271 276
sage healthy 279 284
buckwheat neutral 310 315
gouda unhealthy 320 325
honeydew healthy 422 427
toffee unhealthy 435 440
peppercorn neutral 443 448
breadfruit healthy 496 501
drumstick neutral 537 542
toast unhealthy 14 20
beef unhealthy 41 47
date healthy 43 49
butter neutral 47 53
orange healthy 82 88
bean healthy 113 119
cauliflower healthy 138 144
sesame healthy 214 220
whataburger unhealthy 305 311
edible neutral 370 376
turmeric neutral 373 379
marshmallow unhealthy 384 390
saute neutral 463 469
daikon healthy 465 471
durian healthy 513 519
citron healthy 546 552
chocolate unhealthy 25 32
peanut healthy 88 95
shake unhealthy 115 122
vanilla neutral 125 132
chip unhealthy 143 150
bake neutral 148 155
savory neutral 157 164
rib neutral 193 200
brisket unhealthy 201 208
pita neutral 218 225
cod healthy 222 229
walnut healthy 224 231
entree neutral 228 235
leaf neutral 237 244
dress neutral 255 262
yolk neutral 290 297
batter unhealthy 367 374
acorn healthy 380 387
junk unhealthy 400 407
whopper unhealthy 502 509
lobster neutral 92 100
cocktail unhealthy 164 172
pastry unhealthy 207 215
meatball neutral 226 234
pepperoni unhealthy 230 238
mash neutral 249 257
chutney neutral 340 348
loaf neutral 342 350
vege healthy 490 498
crouton healthy 504 512
sugar unhealthy 101 110
casserole neutral 122 131
cracker neutral 286 295
salami unhealthy 307 316
barley healthy 315 324
fondue unhealthy 318 327
prawn healthy 372 381
oxtail neutral 385 394
liquor unhealthy 388 397
bitter neutral 470 479
popover unhealthy 497 506
aubergine healthy 506 515
snicker unhealthy 519 528
cinnamon neutral 56 66
popcorn neutral 165 175
tart neutral 166 176
stew neutral 168 178
croissant unhealthy 179 189
jelly unhealthy 211 221
ravioli neutral 213 223
beet healthy 232 242
flax healthy 265 275
creme unhealthy 289 299
radish healthy 294 304
fajita unhealthy 296 306
dry neutral 304 314
leek healthy 311 321
baguette unhealthy 312 322
grease unhealthy 413 423
hake healthy 478 488
protein neutral 29 40
crust neutral 253 264
brew unhealthy 298 309
z neutral 382 393
sole neutral 401 412
persimmon healthy 475 486
grit neutral 499 510
dip neutral 200 212
collard healthy 319 331
freeze unhealthy 354 366
mayonnaise unhealthy 437 449
iceberg healthy 468 480
milky neutral 536 548
sirloin neutral 297 310
brownie unhealthy 321 334
cornmeal neutral 359 372
sprout healthy 387 400
goulash neutral 446 459
beetroot healthy 476 489
pumpernickel healthy 483 496
mulberry healthy 501 514
quail neutral 371 385
whey healthy 377 391
macaroon unhealthy 462 476
sorghum healthy 509 523
salt neutral 151 166
noodle neutral 152 167
celery healthy 192 207
blood unhealthy 256 271
broth neutral 337 352
watercress healthy 414 429
eel healthy 427 442
prune healthy 485 500
heart neutral 121 137
appetizer neutral 145 161
soda unhealthy 235 251
dough neutral 257 273
danish unhealthy 333 349
caviar healthy 351 367
liver neutral 366 382
frost unhealthy 525 541
grain healthy 154 171
swiss neutral 185 202
chilli unhealthy 316 333
cinnabon unhealthy 356 373
tamale unhealthy 386 403
millet healthy 389 406
goose neutral 404 421
tomatillo healthy 405 422
mussel neutral 456 473
frappuccino unhealthy 474 491
anise neutral 503 520
tamal unhealthy 522 539
cofee unhealthy 526 543
quesadilla unhealthy 196 214
kiwi healthy 238 256
ketchup neutral 278 296
rabbit neutral 322 340
meringue unhealthy 426 445
broil neutral 438 457
flan unhealthy 458 477
tenderloin neutral 267 287
hazelnut healthy 299 319
patty unhealthy 324 344
ingredient neutral 273 294
poppyseed healthy 378 399
mochi unhealthy 434 455
fat unhealthy 94 116
stomach neutral 261 283
snail healthy 507 529
cassava neutral 529 551
